[2026-08-20 22:31:19,504: INFO: main: Welcome to our custom log]
[2026-08-21 18:30:23,422: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-21 18:30:54,058: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-21 18:30:54,062: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-21 18:30:54,065: INFO: common: created directory at: artifacts]
[2026-08-21 18:33:10,012: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-21 18:33:10,014: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-21 18:33:10,016: INFO: common: created directory at: artifacts]
[2026-08-21 18:35:11,889: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-21 18:35:11,891: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-21 18:35:11,893: INFO: common: created directory at: artifacts]
[2026-08-21 18:35:11,894: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-21 18:35:11,896: INFO: 475160682: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-21 18:36:12,197: INFO: 475160682: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-21 18:39:33,477: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-21 18:39:33,480: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-21 18:39:33,481: INFO: common: created directory at: artifacts]
[2026-08-21 18:39:33,483: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-21 18:39:33,485: INFO: 2788855280: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-21 18:42:01,857: INFO: 2788855280: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-21 19:27:38,962: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-08-21 19:27:38,966: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-21 19:27:38,971: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-21 19:27:38,973: INFO: common: created directory at: artifacts]
[2026-08-21 19:27:38,976: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-21 19:27:38,977: INFO: data_injection: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-21 19:31:03,156: INFO: data_injection: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-21 19:31:04,035: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
